ds;Open;High;Low;Vol.;Change %;Year;Month;Day;unique_id;Day name;y
2023-04-23 00:00:00;7551.5;7577;7518.32;73.19M;0.0051;2023;4;21;3203;6;7590.510524
2023-04-24 00:00:00;7545.6;7581.26;7545.6;63.57M;-0.0004;2023;4;24;3204;2;7573.86
2023-04-25 00:00:00;7528.15;7541.72;7504.26;73.95M;-0.0056;2023;4;25;3205;3;7531.61
2023-04-26 00:00:00;7496.48;7508.13;7427.53;91.91M;-0.0086;2023;4;26;3206;4;7466.66
2023-04-27 00:00:00;7450.1;7507.26;7446.66;78.10M;0.0023;2023;4;27;3207;5;7483.84
2023-04-28 00:00:00;7498.62;7505.05;7403.2;87.01M;0.001;2023;4;28;3208;6;7491.5
2023-04-29 00:00:00;7498.62;7505.05;7403.2;87.01M;0.001;2023;4;28;3209;6;7478.089458
2023-04-30 00:00:00;7498.62;7505.05;7403.2;87.01M;0.001;2023;4;28;3210;6;7444.832099
2023-05-01 00:00:00;7498.62;7505.05;7403.2;87.01M;0.001;2023;4;28;3211;6;7407.83369
2023-05-02 00:00:00;7466.82;7505.92;7374.06;83.04M;-0.0145;2023;5;2;3212;3;7383.2
2023-05-03 00:00:00;7410.56;7445.95;7395.82;61.11M;0.0028;2023;5;3;3213;4;7403.83
2023-05-04 00:00:00;7381.4;7393.02;7316.14;79.97M;-0.0085;2023;5;4;3214;5;7340.77
2023-05-05 00:00:00;7388.01;7437.6;7354.6;70.69M;0.0126;2023;5;5;3215;6;7432.93
2023-05-06 00:00:00;7388.01;7437.6;7354.6;70.69M;0.0126;2023;5;5;3216;6;7454.231747
2023-05-07 00:00:00;7388.01;7437.6;7354.6;70.69M;0.0126;2023;5;5;3217;6;7461.802051
2023-05-08 00:00:00;7427.96;7456.46;7416.22;46.79M;0.0011;2023;5;8;3218;2;7440.91
2023-05-09 00:00:00;7415.01;7419.9;7358.45;63.46M;-0.0059;2023;5;9;3219;3;7397.17
2023-05-10 00:00:00;7403.62;7416.32;7337.66;75.39M;-0.0049;2023;5;10;3220;4;7361.2
2023-05-11 00:00:00;7383.58;7436.94;7333.92;64.31M;0.0028;2023;5;11;3221;5;7381.78
2023-05-12 00:00:00;7420.41;7463.7;7395.6;58.34M;0.0045;2023;5;12;3222;6;7414.85
2023-05-13 00:00:00;7420.41;7463.7;7395.6;58.34M;0.0045;2023;5;12;3223;6;7425.814874
2023-05-14 00:00:00;7420.41;7463.7;7395.6;58.34M;0.0045;2023;5;12;3224;6;7425.787264
2023-05-15 00:00:00;7443.38;7455.63;7397.86;48.64M;0.0005;2023;5;15;3225;2;7418.21
2023-05-16 00:00:00;7394.85;7427.57;7377.81;61.26M;-0.0016;2023;5;16;3226;3;7406.01
2023-05-17 00:00:00;7378.83;7422.58;7354.54;57.78M;-0.0009;2023;5;17;3227;4;7399.44
2023-05-18 00:00:00;7440.75;7481.78;7426.39;59.99M;0.0064;2023;5;18;3228;5;7446.89
2023-05-19 00:00:00;7469.78;7523.56;7463.96;67.97M;0.0061;2023;5;19;3229;6;7491.96
2023-05-20 00:00:00;7469.78;7523.56;7463.96;67.97M;0.0061;2023;5;19;3230;6;7522.767367
2023-05-21 00:00:00;7469.78;7523.56;7463.96;67.97M;0.0061;2023;5;19;3231;6;7521.271949
2023-05-22 00:00:00;7467.93;7493.38;7452.69;57.44M;-0.0018;2023;5;22;3232;2;7478.16
2023-05-23 00:00:00;7457.18;7459.37;7378.71;65.79M;-0.0133;2023;5;23;3233;3;7378.71
2023-05-24 00:00:00;7306.14;7308.59;7223.58;77.51M;-0.017;2023;5;24;3234;4;7253.46
2023-05-25 00:00:00;7261.05;7261.05;7197.4;59.44M;-0.0033;2023;5;25;3235;5;7229.27
